English,Korean
you,너
i,나
the,그만큼
to,에게
it,그것
and,그리고
that,저것
of,~의
is,~이다
in,~에
what,무엇
we,우리
me,나
this,이것
he,그
for,~을 위한
my,나의
on,~에
have,가지다
your,당신의
do,하다
was,~였다
no,아니요
not,~ 아니다
are,~이다
re,답장
know,알다 
can,~할 수 있다
with,~와 함께
but,하지만
all,모두
so,그래서
just,단지
there,거기
here,여기
they,그들
like,좋다
get,얻다
she,그녀
go,가다
if,만약에
right,오른쪽
out,밖으로
about,~에 대한
up,위로
at,~에
him,그를
now,지금
oh,오
one,하나
come,오다
well,잘
her,그녀의
how,어떻게
yeah,응
will,~ 할 것이다
got,갖다
want,원하다
think,생각하다
as,~처럼
see,보다
did,했다
good,좋은
why,왜
from,~에서
let,허락하다
his,그의
yes,예
when,언제
going,가고 있다
time,시간
okay,좋아요
back,뒤쪽에
look,바라보다
us,우리를
would,~일 것이다
them,그들을
where,어디
were,~이었다
take,가져가다
then,그 다음에
had,가졌다
or,또는
been,계속 ~ 이다
our,우리의
gonna,할거야
tell,말하다
really,정말
man,남성
some,일부
say,말하다
hey,여기요
could,~할 수 있었다
by,~에 의해
need,필요
something,무엇
has,가지다
too,~도
more,더
way,방법
down,아래에
make,만들다
very,매우
never,절대
only,오직
people,사람들
over,~ 위에
because,왜냐하면
little,작은
please,제발
love,사랑
should,~해야 한다
mean,평균
said,말했다
sorry,죄송합니다
give,주다
off,끄다
am,~이다
thank,감사하다
any,어느
two,둘
even,심지어
much,많이
doing,행위
sure,확신하는
thing,물건
these,이것들
help,돕다
first,첫 번째
into,~ 안으로
anything,아무것
still,아직
find,찾다
life,삶
nothing,아무것도 아님
sir,선생님
day,낮
god,하나님
work,일하다
their,그들의
uh,음
again,다시
maybe,아마도
must,~ 해야 하다
before,~ 전에
other,다른
wait,기다리다
stop,멈추다
call,부르다
after,~ 후에
won,이겼다
talk,말하다
away,떨어져 있는
than,~보다
thought,생각
home,집
night,밤
put,놓다
great,엄청난
those,저것들
last,마지막
better,더 나은
everything,모든 것
told,말했다
mr.,씨.
new,새로운
things,것들
always,언제나
keep,유지하다
long,긴
years,연령
leave,떠나다
does,하다
money,돈
around,약
doesn,그렇습니다
name,이름
place,장소
ever,항상
feel,느끼다
guys,얘들아
father,아버지
guy,남자
made,만들어진
old,오래된
isn,ISN
which,어느
big,큰
lot,많은
done,완료
hello,안녕하세요
nice,멋진
believe,믿다
girl,소녀
someone,누구
fine,괜찮은
thanks,감사해요
wanted,원해
kind,친절한
coming,오는
house,집
every,모든
ok,좋아요
through,~을 통해
being,존재
course,강의
stay,머무르다
left,왼쪽
dad,아빠
enough,충분한
happened,일어난
came,왔다
may,5월
mother,어머니
wrong,잘못된
world,세계
bad,나쁜
might,~할 것 같다
three,삼
today,오늘
listen,듣다
another,또 다른
understand,이해하다
hear,듣다
remember,기억하다
ask,묻다
own,소유하다
same,같은
show,보여주다
else,또 다른
kill,죽이다
talking,말하는
found,설립하다
next,다음
getting,구하는
care,케어
car,자동차
looking,보고
son,아들
try,노력하다
woman,여성
went,갔다
hi,안녕
dead,죽은
many,많은
mind,정신
wasn,그렇지 않았다
friend,친구
best,최상의
mom,엄마
hell,지옥
morning,아침
trying,견딜 수 없는
boy,소년
together,함께
yourself,당신 자신
job,직업
saw,봤다
family,가족
real,진짜
without,없이
baby,아기
room,방
wouldn,할 것입니다
already,이미
move,이동하다
most,최대
seen,본다
live,살다
miss,놓치다
actually,실제로
huh,뭐
shit,똥
both,둘 다
heard,들었다
once,한 번
ready,준비가 된
head,머리
called,~라고 불리는
used,사용된
idea,아이디어
knew,알고 있었다
hold,잡고 있다
happy,행복하다
door,문
such,그런
fuck,못쓰게 만들다
brother,형제
also,또한
pretty,예쁜
bit,조금
took,가지고 갔다
haven,피난처
yet,아직
men,남자들
whole,전체
start,시작
use,사용
while,~하는 동안
since,~부터
wife,부인
days,날
guess,추측하다
tomorrow,내일
matter,문제
meet,만나다
bring,가져오다
tonight,오늘 밤
everyone,모든 사람
run,달리다
wanna,원해
hard,딱딱한
alone,홀로
myself,내 자신
school,학교
gone,다 쓴
um,음
end,끝
saying,속담
phone,핸드폰
play,놀다
looks,외모
couldn,할 수 있습니다
fucking,빌어 먹을
problem,문제
few,약간의
friends,친구
gotta,gotta
ago,~ 전에
open,열려 있는
anyone,누구나
killed,살해
hope,희망
face,얼굴
until,~까지
lost,잃어버린
police,경찰
excuse,변명
turn,회전하다
business,사업
case,사례
wants,원한다
says,말한다
TRUE,진실
die,주사위
heart,마음
soon,곧
each,각
worry,걱정하다
later,나중에
year,년도
watch,보다
music,음악
hand,손
probably,아마
beautiful,아름다운
doctor,의사
sit,앉다
eat,먹다
thinking,생각
young,어린
second,두번째
working,일하고 있는
water,물
person,사람
part,부분
kids,어린이
late,늦은
stuff,물건
exactly,정확히
under,아래에
death,죽음
minute,분
pay,지불하다
crazy,미친
forget,잊다
everybody,여러분
kid,어린이
change,변화
gave,주었다
happen,일어나다
damn,젠장
five,다섯
drink,마시다
far,멀리
knows,알고 있습니다
its,그것은
whatever,무엇이든
eyes,눈
shut,닫다
aren,아들
hit,때리다
taking,취득
easy,쉬운
times,타임스
check,확인하다
hands,소유
minutes,분
deal,거래
different,다른
means,수단
point,가리키다
inside,내부에
makes,만든다
asked,물었다
somebody,어떤 사람
mine,내 거
